;;;;;;;;;;;;;;;;;;/P900_BVNG;/GenoNG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Device_Design_MMS_Interface;Device_Design_MMS_Interface;SXU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RX;SYS_ID Name;SYS_ID;Name;PV_ID;COB_ID;MUX;SourceNode (2=ECU, 3=EMU, 31=EIM,              7 = CPM,             5 = ESD);Unit;skal_faktor;ATTRIBUTES;"Errorcode 
Mapping";ZKP;MMS Name;;ab IF Version;Kommentar;;PTC Trace ID BVNG;PTC Trace ID GLNG;"Querverweis
SXU / ECU";SXU Slot;Name;CAN_ID;MUX;Unit;Bewertung;Alarmpriority;Skal_Faktor;Source_Node; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;LM_HI_P_Gas_RailBankB;0010.012202.154.010.0;LM HI P-Gas B;109025;1048;24;2;bar;100000;0;;;;;;GasMobil;1;;;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
;LM_HIHI_P_Gas_RailBankB;0010.012202.164.010.0;LM HIHI P-Gas B;109026;1049;0;2;bar;100000;0;;;;;;GasMobil;1;;;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
;MaxScaleGasConsumption;0010.012303.010.000.0;Max. Scale Gas Consumption;109027;1049;1;2;kg/h;1000;0;;;;;;GasMobil;1;;;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
;ActualGasConsumptionBargraph;0010.012301.010.010.0;Actual Gas Cons. Bargraph;109028;1049;2;2;%;1000;0;;;;;;GasMobil;1;;;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
;MeanTripGasConsumptionBargraph;0010.012302.010.020.0;Mean Trip Gas Cons. Bargraph;109029;1049;3;2;%;1000;0;;;;;;GasMobil;1;;;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
;LM_HI_T_Gas;0010.012101.154.000.0;LM HI T-Gas;109030;1049;4;2;degC;100;0;;;;;;GasMobil;1;;;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
;LM_HIHI_T_Gas;0010.012101.164.000.0;LM HIHI T-Gas;109031;1049;5;2;degC;100;0;;;;;;GasMobil;1;;;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
;LM_HI_P_Coolant;0010.015101.154.000.0;;109054;1050;3;2;bar;100000;0;;;LM HI P-Coolant;;;GasMobil, doppelt vorhanden! Wird auch durch 110717 empfangen!;1;;;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
;ExternalStopActiveECU;0010.042104.010.000.0;External Stop Active (ECU);110001;1000;0;2;digit;1;0;;2.7001.008;;;;;1;-;-;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
;EngineSpeed;0010.000501.010.000.0;Engine Speed;110002;1000;1;2;rpm;10;0;;"1.2500.044
2.2010.123 ECU7 AIO 1.5";;;;;1;-;-;;;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;;;;;;;;;;;;;;;;;;
